UIRoot2D/NormalPanel/HeroAttributeWin/Go_HeroAttribute/Go_ScrollList/Go_List/Go_LevelUP/Btn_LevelUp,UIRoot2D/NormalPanel/BattleWin/Go_TeamSkill/Btn_TeamSkill,UIRoot2D/NormalPanel/UGCBattleWin/Go_PlayerCard/Go_UGCBattleCard_3,UIRoot2D/NormalPanel/UGCBattleWin/Go_PlayerCard/Go_UGCBattleCard_0,UIRoot2D/NormalPanel/HeroListWin/Btn_Back,UIRoot2D/NormalPanel/GuildWar5V5BattleWin/Go_Player/Go_HeroSkill/Btn_CommonAttack,UIRoot2D/NormalPanel/UGCBattleWin/Go_PlayerCard/Go_UGCBattleCard_1,UIRoot2D/NormalPanel/EquipStrengthenWin/Go_Strengthen/Btn_strengthen,UIRoot2D/NormalPanel/HeroInfoWin/Go_ToggleList/Tog_Equip,UIRoot2D/NormalPanel/EquipStrengthenWin/Go_Strengthen/Btn_faststrengthen,UIRoot2D/NormalPanel/QuestWin/Go_Quest/Go_QuestList/Go_ScrollRect/Go_Content/Go_AchievementItem_01/Btn_Reward,UIRoot2D/NormalPanel/UGCBattleWin/Go_GlobalSkill/Btn_GlobalSkill_0,UIRoot2D/NormalPanel/UGCBattleWin/Go_PlayerCard/Go_UGCBattleCard_2,UIRoot2D/NormalPanel/BossInvadeBattleWin/Go_HeroSkill/Btn_CommonAttack,UIRoot2D/NormalPanel/DuelistBattleWin/Go_HeroSkill/Btn_CommonAttack,UIRoot2D/NormalPanel/HeroAttributeWin/Go_HeroAttribute/Go_ScrollList/Go_List/Go_AttributeTip/Go_ItemList/Go_Item_0,UIRoot2D/NormalPanel/MainWin/Go_Menu/Msk_DisplayArea/Grid/Btn_Hero,UIRoot2D/NormalPanel/RobWin/Go_Rob/Go_TreasureList/Go_Layout/Go_TreasureListItem_Win_Rob(Clone),vip
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
52,66,0,0,142,0,130,0,51,48,87,18,2,2202,60,0,147,208,False
21,8,0,0,18,0,0,0,25,0,20,0,0,0,0,0,22,0,False
4,38,0,0,5,0,0,0,2,0,4,0,0,0,0,0,11,0,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
6,6,0,0,10,0,0,0,7,6,5,0,0,0,0,0,15,0,False
0,1,0,0,2,0,0,0,3,2,1,0,0,0,0,0,2,0,False
16,9,0,0,7,0,0,0,0,0,12,0,0,9,0,0,10,0,False
21,22,0,0,25,0,0,0,40,24,35,0,0,74,0,0,31,2,False
1,56,0,0,12,0,0,0,2,1,7,0,0,9,0,0,15,4,True
4,3,0,0,4,0,0,0,6,11,6,0,0,0,110,0,4,0,False
7,1,0,0,7,0,0,0,6,5,7,0,0,228,0,1,7,26,True
4,19,0,0,7,0,0,0,7,4,6,0,0,92,31,0,13,38,False
0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,False
43,57,0,0,80,0,0,0,42,42,25,0,0,65,9,1,82,76,False
0,28,0,0,23,0,0,0,7,2,8,0,0,59,0,0,25,22,False
21,25,0,0,27,0,0,0,16,33,18,0,0,304,0,0,27,0,True
5,10,0,0,16,0,0,0,16,6,8,0,0,4,0,0,18,34,False
10,10,0,0,12,0,0,0,10,22,8,0,0,0,0,0,12,0,False
6,18,0,0,10,0,0,0,11,11,17,0,0,0,0,5,9,0,False
12,16,0,356,16,0,134,0,14,9,12,131,0,117,0,0,17,32,False
9,0,0,4,13,0,3,0,26,18,32,3,0,40,0,20,14,298,False
27,54,0,0,74,0,0,39,31,52,21,0,0,75,0,28,73,90,False
14,101,0,42,21,0,57,0,27,24,18,10,0,674,0,0,26,34,False
